Company Location,Review Date,Country of Bean Origin,Cocoa Percent,Rating,Bean Origin ID,Company Location ID,Number of ingredients,Number of ingredients norm,Has vanilla,Year Norm,Cocoa Percent norm
Japan,2026,Madagascar,75%,3.0,15,11,3.0,0.34581838219927463,0,2.4478734663286192,0.973354382784148
Peru,2026,Peru,70%,3.75,18,15,3.0,0.34581838219927463,0,2.4478734663286192,-0.41291870242530737
Peru,2026,Peru,70%,3.5,18,15,3.0,0.34581838219927463,0,2.4478734663286192,-0.41291870242530737
U.K.,2026,Philippines,70%,3.5,19,19,3.0,0.34581838219927463,0,2.4478734663286192,-0.41291870242530737
Canada,2026,Peru,80%,3.25,18,5,3.0,0.34581838219927463,0,2.4478734663286192,2.3596274679936036
U.K.,2026,Peru,72%,3.5,18,19,3.0,0.34581838219927463,0,2.4478734663286192,0.1415905316584748
Germany,2026,Peru,68%,3.5,18,9,3.0,0.34581838219927463,0,2.4478734663286192,-0.9674279365090895
Germany,2026,Peru,75%,3.5,18,9,3.0,0.34581838219927463,0,2.4478734663286192,0.973354382784148
Germany,2026,Peru,70%,3.5,18,9,3.0,0.34581838219927463,0,2.4478734663286192,-0.41291870242530737
Germany,2026,Peru,72%,3.5,18,9,3.0,0.34581838219927463,0,2.4478734663286192,0.1415905316584748
Germany,2026,Peru,80%,3.25,18,9,3.0,0.34581838219927463,0,2.4478734663286192,2.3596274679936036
U.S.A.,2026,U.S.A.,70%,2.75,23,20,3.0,0.34581838219927463,0,2.4478734663286192,-0.41291870242530737
U.S.A.,2026,U.S.A.,70%,2.75,23,20,3.0,0.34581838219927463,0,2.4478734663286192,-0.41291870242530737
U.S.A.,2026,U.S.A.,75%,2.5,23,20,3.0,0.34581838219927463,0,2.4478734663286192,0.973354382784148
U.S.A.,2025,Tanzania,65%,3.75,21,20,3.0,0.34581838219927463,0,2.0702516957523316,-1.7991917876347627
France,2025,Indonesia,72%,3.5,14,8,3.0,0.34581838219927463,0,2.0702516957523316,0.1415905316584748
Spain,2025,Philippines,75%,3.5,19,17,3.0,0.34581838219927463,0,2.0702516957523316,0.973354382784148
France,2025,Madagascar,70%,3.0,15,8,3.0,0.34581838219927463,0,2.0702516957523316,-0.41291870242530737
U.S.A.,2025,Bolivia,70%,3.0,2,20,3.0,0.34581838219927463,0,2.0702516957523316,-0.41291870242530737
Canada,2025,Philippines,76%,3.0,19,5,2.0,-1.148561454131727,0,2.0702516957523316,1.250608999826039
Canada,2025,Venezuela,70%,3.75,25,5,3.0,0.34581838219927463,0,2.0702516957523316,-0.41291870242530737
U.S.A.,2025,Guatemala,70%,2.5,10,20,2.0,-1.148561454131727,0,2.0702516957523316,-0.41291870242530737
U.S.A.,2025,Belize,75%,3.5,1,20,2.0,-1.148561454131727,0,2.0702516957523316,0.973354382784148
U.S.A.,2025,Madagascar,72%,3.0,15,20,3.0,0.34581838219927463,0,2.0702516957523316,0.1415905316584748
U.S.A.,2025,Indonesia,72%,3.5,14,20,3.0,0.34581838219927463,0,2.0702516957523316,0.1415905316584748
U.S.A.,2025,Indonesia,72%,2.75,14,20,3.0,0.34581838219927463,0,2.0702516957523316,0.1415905316584748
France,2025,Peru,72%,3.25,18,8,2.0,-1.148561454131727,0,2.0702516957523316,0.1415905316584748
France,2025,Peru,67%,3.0,18,8,2.0,-1.148561454131727,0,2.0702516957523316,-1.2446825535509807
Canada,2025,U.S.A.,70%,3.75,23,5,2.0,-1.148561454131727,0,2.0702516957523316,-0.41291870242530737
Germany,2025,Peru,70%,3.5,18,9,3.0,0.34581838219927463,0,2.0702516957523316,-0.41291870242530737
U.S.A.,2025,Vietnam,75%,3.0,26,20,4.0,1.8401982185302763,0,2.0702516957523316,0.973354382784148
U.S.A.,2025,U.S.A.,70%,3.75,23,20,3.0,0.34581838219927463,0,2.0702516957523316,-0.41291870242530737
Mexico,2025,Mexico,75%,3.25,16,12,3.0,0.34581838219927463,0,2.0702516957523316,0.973354382784148
Mexico,2025,Mexico,70%,3.0,16,12,3.0,0.34581838219927463,0,2.0702516957523316,-0.41291870242530737
Mexico,2025,Mexico,77%,3.0,16,12,2.0,-1.148561454131727,0,2.0702516957523316,1.5278636168679303
Mexico,2025,Mexico,70%,3.0,16,12,3.0,0.34581838219927463,0,2.0702516957523316,-0.41291870242530737
U.S.A.,2025,Mexico,70%,2.75,16,20,3.0,0.34581838219927463,0,2.0702516957523316,-0.41291870242530737
Belgium,2024,Philippines,74%,3.0,19,3,2.0,-1.148561454131727,0,1.6926299251760435,0.696099765742257
Colombia,2024,Colombia,75%,2.75,4,6,3.0,0.34581838219927463,0,1.6926299251760435,0.973354382784148
Canada,2024,Philippines,70%,3.0,19,5,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Venezuela,2024,Venezuela,70%,2.5,25,21,2.0,-1.148561454131727,0,1.6926299251760435,-0.41291870242530737
U.S.A.,2024,Ghana,70%,2.75,9,20,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Japan,2024,Venezuela,70%,3.0,25,11,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Japan,2024,Tanzania,70%,3.5,21,11,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Japan,2024,India,70%,3.5,13,11,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Japan,2024,Haiti,70%,3.5,11,11,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Japan,2024,Ghana,70%,3.0,9,11,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Japan,2024,Ecuador,70%,3.25,7,11,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Japan,2024,Belize,70%,3.5,1,11,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
U.S.A.,2024,Nicaragua,70%,3.0,17,20,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
U.S.A.,2024,Philippines,72%,3.25,19,20,3.0,0.34581838219927463,0,1.6926299251760435,0.1415905316584748
France,2024,Vietnam,70%,3.0,26,8,4.0,1.8401982185302763,0,1.6926299251760435,-0.41291870242530737
Japan,2024,Venezuela,70%,3.25,25,11,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Japan,2024,Mexico,70%,3.25,16,11,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Peru,2024,Peru,70%,3.5,18,15,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Canada,2024,Tanzania,70%,4.0,21,5,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
U.S.A.,2024,Vietnam,70%,3.5,26,20,2.0,-1.148561454131727,0,1.6926299251760435,-0.41291870242530737
U.S.A.,2024,Vietnam,70%,3.25,26,20,2.0,-1.148561454131727,0,1.6926299251760435,-0.41291870242530737
U.S.A.,2024,Peru,70%,3.5,18,20,2.0,-1.148561454131727,0,1.6926299251760435,-0.41291870242530737
U.S.A.,2024,Indonesia,75%,3.25,14,20,2.0,-1.148561454131727,0,1.6926299251760435,0.973354382784148
U.S.A.,2024,Ghana,75%,3.0,9,20,2.0,-1.148561454131727,0,1.6926299251760435,0.973354382784148
Switzerland,2024,Madagascar,70%,3.5,15,18,2.0,-1.148561454131727,0,1.6926299251760435,-0.41291870242530737
Belgium,2024,Peru,76%,3.25,18,3,3.0,0.34581838219927463,0,1.6926299251760435,1.250608999826039
Belgium,2024,Peru,70%,3.25,18,3,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Belgium,2024,Brazil,70%,3.0,3,3,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Italy,2024,Peru,72%,3.0,18,10,3.0,0.34581838219927463,0,1.6926299251760435,0.1415905316584748
U.S.A.,2024,Vietnam,70%,2.5,26,20,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Germany,2024,Peru,70%,3.75,18,9,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
Mexico,2024,Mexico,75%,3.5,16,12,3.0,0.34581838219927463,0,1.6926299251760435,0.973354382784148
Denmark,2024,Madagascar,74%,3.5,15,7,2.0,-1.148561454131727,0,1.6926299251760435,0.696099765742257
Italy,2024,Venezuela,71%,3.25,25,10,3.0,0.34581838219927463,0,1.6926299251760435,-0.1356640853834163
U.S.A.,2024,Madagascar,72%,3.5,15,20,3.0,0.34581838219927463,0,1.6926299251760435,0.1415905316584748
Spain,2024,Peru,70%,3.0,18,17,3.0,0.34581838219927463,0,1.6926299251760435,-0.41291870242530737
U.S.A.,2024,Tanzania,65%,3.25,21,20,3.0,0.34581838219927463,0,1.6926299251760435,-1.7991917876347627
Belgium,2024,Vietnam,75%,2.5,26,3,3.0,0.34581838219927463,0,1.6926299251760435,0.973354382784148
U.S.A.,2024,Peru,65%,3.0,18,20,3.0,0.34581838219927463,0,1.6926299251760435,-1.7991917876347627
