REF	Company (Manufacturer)	Company Location	Review Date	Country of Bean Origin	Specific Bean Origin or Bar Name	Cocoa Percent	Ingredients	Most Memorable Characteristics	Rating
3016	Cacao Store	Japan	2026	Thailand	Chumphon	70%	3- B,S,C	light apricot, pear, nutty, clean	3.25
3016	Cacao Store	Japan	2026	Taiwan	Fu-Wan	70%	3- B,S,C	cocoa,roasty,pungent, chemical	2.75
3016	Cacao Store	Japan	2026	Madagascar	Ambanja	75%	3- B,S,C	high acid, atypical honey	3
3016	URA	Peru	2026	Peru	Piura, Chulucanas, Finca Tito Jimenez	70%	3- B,S,C	grapes, roast (smoke like)	3.75
3020	URA	Peru	2026	Peru	VRAEM 99, Pichari, Cusco, Finca Daria	70%	3- B,S,C	plum	3.5
3008	Stamba	Georgia	2026	Peru	Peru	70%	2- B,S	high roast, cocoa, dried fruit	3
3024	Bare Bones	U.K.	2026	Philippines	Paquibato co-op, Davao region	70%	3- B,S,C	nutty, prune, molasses	3.5
3012	Qantu	Canada	2026	Peru	Hidden Treasure, Wild Cacao, lot TC 1108	80%	3- B,S,C	sl. fatty, nut, honey, maple	3.25
3024	Pump Street Bakery	U.K.	2026	Peru	Piura, La Pareja, Don Ramon's Farm	72%	3- B,S,C	wild berry, sharp notes	3.5
3024	Meybol	Germany	2026	Peru	VRAEM	68%	3- B,S,C	dried apricot and berry, cocoa	3.5
3020	Meybol	Germany	2026	Peru	Chuncho	75%	3- B,S,C	dried fruit, prune, rich cocoa	3.5
3020	Meybol	Germany	2026	Peru	No. 5 Chuncho	70%	3- B,S,C	banana, plum, cocoa	3.5
3020	Meybol	Germany	2026	Peru	Piura Blanco	72%	3- B,S,C	cookie, purple grape, clean	3.5
3008	Meybol	Germany	2026	Peru	Cusco No. 7	80%	3- B,S,C	bitter dominates, some grape	3.25
3008	Maverick	U.S.A.	2026	Thailand	Chanthaburi	70%	3- B,S,C	acidic, tart, citrus, roasty	3
3024	Manam	India	2026	India	Origin No. 5, West Godavari District	80%	3- B,S,C	deep cocoa,coffee like, sl. bitter	3.25
3012	21 Degrees Estate	U.S.A.	2026	U.S.A.	Kahalu'u, Hawaii, Spring Harvest	70%	3- B,S,C	fatty, hammy, perfume, caramel	2.75
3012	21 Degrees Estate	U.S.A.	2026	U.S.A.	Kahalu'u, Hawaii, Autumn Harvest	70%	3- B,S,C	sl. fatty, grassy, sweet edge	2.75
3012	21 Degrees Estate	U.S.A.	2026	U.S.A.	Kahalu'u, Hawaii, Winter Harvest	75%	3- B,S,C	fatty, hammy, grassy, roasty	2.5
2984	Dick Taylor	U.S.A.	2025	Vanuatu	Malekula Island	78%	2- B,S	sticky, smokey, dried fruit	2.5
2976	Dick Taylor	U.S.A.	2025	Tanzania	Kokoa Kamili, Kilombero Valley	65%	3- B,S,C	sweet, roasty, mild caramel	3.75
2992	Criollos	France	2025	Indonesia	Bali, Kerta Semaya Samaniya	72%	3- B,S,C	tart, plum, deep flavor	3.5
3008	ChocoMe	Hungary	2025	Venezuela	Chuao, Aragua, Empresa Campesina, b. BB101	72%	3- B,S,C	sandy, balanced fruit, cocoa	3.5
